t,id,state,state_time,face_mode,need_move,plant,bond,solid,slot_dist,slot_locked,mag,heading_deg,want_deg,travel_deg,unit_err_deg,travel_err_deg,reason
1.0,6,turning,0.933,travel,1,0,0,0,1.055,0,0.785,305.9,68.4,68.4,54.1,122.5,travel_path:turning
1.0,8,turning,0.333,travel,1,0,0,0,0.424,0,2.087,27.9,329.1,329.1,27.9,58.7,travel_path:turning
1.0,9,adjusting,0.167,travel,1,0,0,0,0.399,0,1.77,22.6,124.3,124.3,22.6,101.7,travel_path:adjusting
1.0,11,turning,0.933,travel,1,0,0,0,0.469,0,3.252,67.3,49.2,49.2,67.3,18.1,travel_path:turning
1.0,12,turning,0.233,travel,1,0,0,0,0.425,0,2.078,219.0,205.0,205.0,141.0,14.0,travel_path:turning
1.0,13,turning,0.067,travel,1,0,0,0,0.567,0,2.149,126.5,102.6,102.6,126.5,23.9,travel_path:turning
1.0,14,adjusting,0.3,travel,1,0,0,0,0.271,0,1.293,39.4,353.3,353.3,39.4,46.1,travel_path:adjusting
1.0,16,turning,0.633,travel,0,0,0,0,0.349,0,0.325,227.2,0.0,199.1,132.8,28.1,travel_path:turning
1.0,17,turning,0.567,travel,0,0,0,0,0.527,0,0.328,214.1,0.0,64.9,145.9,149.2,travel_path:turning
1.0,18,forming_up,0.067,travel,1,0,0,0,0.129,0,4.615,210.5,248.6,248.6,149.5,38.1,travel_path:forming_up
1.0,19,turning,0.933,travel,1,0,0,0,0.76,0,0.798,128.1,170.9,170.9,128.1,42.9,travel_path:turning
1.0,20,turning,0.033,travel,1,0,0,0,0.408,0,1.725,31.2,57.6,57.6,31.2,26.5,travel_path:turning
1.0,21,adjusting,0.567,travel,1,0,0,0,0.218,0,0.986,32.0,162.6,162.6,32.0,130.6,travel_path:adjusting
1.0,22,turning,0.933,travel,1,0,0,0,0.587,0,1.222,98.0,244.6,244.6,98.0,146.6,travel_path:turning
1.0,23,adjusting,0.6,travel,1,0,0,0,0.439,0,1.164,200.4,353.3,353.3,159.6,152.9,travel_path:adjusting
