t,id,state,state_time,face_mode,need_move,plant,bond,solid,slot_dist,slot_locked,mag,heading_deg,want_deg,travel_deg,unit_err_deg,travel_err_deg,reason
1.5,13,turning,0.3,unit,0,1,1,1,0.393,1,1.144,247.8,0.0,158.9,112.2,88.9,plant_dress_turn
1.5,17,turning,0.767,travel,1,0,1,0,0.245,1,1.29,355.5,96.4,96.4,4.5,101.0,travel_path:turning
1.5,19,adjusting,0.533,travel,1,0,1,0,0.405,0,0.843,173.8,201.0,201.0,173.8,27.2,travel_path:adjusting
1.5,26,turning,0.133,unit,0,1,1,1,0.365,1,0.552,212.4,0.0,198.8,147.6,13.6,plant_dress_turn
1.5,28,forming_up,0.8,travel,1,0,1,0,0.457,0,1.048,170.6,170.6,170.6,170.6,0.0,travel_path:forming_up
1.5,31,adjusting,0.5,travel,1,0,1,0,0.448,0,1.09,224.7,130.9,130.9,135.3,93.8,travel_path:adjusting
1.5,32,turning,0.733,unit,0,1,1,1,0.398,1,0.479,292.9,0.0,183.5,67.1,109.4,plant_dress_turn
1.5,39,turning,0.367,unit,0,1,1,1,0.349,1,0.031,242.7,0.0,273.1,117.3,30.4,plant_dress_turn
2.0,2,turning,0.2,unit,0,1,1,1,0.24,1,0.478,331.9,0.0,246.2,28.1,85.7,plant_dress_turn
2.0,3,turning,0.033,unit,0,1,1,1,0.416,1,0.66,113.3,0.0,96.1,113.3,17.2,plant_dress_turn
2.0,12,turning,0.433,unit,0,1,1,1,0.3,1,0.973,356.2,0.0,276.4,3.8,79.8,plant_dress_turn
2.0,13,turning,0.8,unit,0,1,1,1,0.371,1,0.624,353.2,0.0,158.5,6.8,165.3,plant_dress_turn
2.0,15,turning,0.2,travel,1,0,1,0,0.269,1,1.3,145.2,273.6,273.6,145.2,128.4,travel_path:turning
2.0,16,turning,0.2,unit,0,1,1,0,0.312,1,0.694,331.9,0.0,266.8,28.1,65.1,plant_dress_turn
2.0,19,turning,0.433,unit,0,1,1,1,0.301,1,0.258,277.4,0.0,186.3,82.6,91.0,plant_dress_turn
2.0,23,turning,0.2,unit,0,1,1,1,0.172,1,0.488,28.1,0.0,117.5,28.1,89.4,plant_dress_turn
2.0,26,turning,0.633,unit,0,1,1,1,0.313,1,0.777,317.8,0.0,198.8,42.2,119.0,plant_dress_turn
2.0,28,turning,0.367,unit,0,1,1,1,0.302,1,0.361,258.9,0.0,197.5,101.1,61.4,plant_dress_turn
2.0,31,turning,0.367,unit,0,1,1,1,0.29,1,0.349,302.0,0.0,245.2,58.0,56.8,plant_dress_turn
2.0,37,turning,0.2,unit,0,1,1,1,0.364,1,0.197,28.1,0.0,75.8,28.1,47.7,plant_dress_turn
2.0,39,turning,0.867,unit,0,1,1,1,0.346,1,0.283,348.1,0.0,273.1,11.9,75.0,plant_dress_turn
2.5,0,turning,0.1,travel,1,0,1,0,0.411,1,1.32,21.1,110.0,110.0,21.1,88.9,travel_path:turning
2.5,3,turning,0.533,unit,0,1,1,1,0.344,1,0.788,7.9,0.0,96.1,7.9,88.2,plant_dress_turn
2.5,14,turning,0.133,travel,1,0,1,0,0.361,1,1.597,28.1,75.8,75.8,28.1,47.7,travel_path:turning
2.5,15,turning,0.7,unit,0,1,1,1,0.242,1,0.365,124.1,0.0,101.0,124.1,23.2,plant_dress_turn
2.5,21,turning,0.1,travel,1,0,1,0,0.219,1,1.225,338.9,240.4,240.4,21.1,98.5,travel_path:turning
2.5,28,turning,0.867,unit,0,1,1,1,0.285,1,0.752,350.2,0.0,256.0,9.8,94.3,plant_dress_turn
2.5,36,turning,0.3,unit,0,1,1,0,0.207,1,0.734,310.8,0.0,182.8,49.2,128.0,plant_dress_turn
3.0,13,turning,0.333,unit,0,1,1,0,0.369,1,0.755,345.9,0.0,232.2,14.1,113.8,plant_dress_turn
3.0,20,turning,0.2,unit,0,1,1,1,0.417,1,0.343,28.1,0.0,83.2,28.1,55.0,plant_dress_turn
3.0,34,turning,0.2,unit,0,1,1,1,0.391,1,0.186,28.1,0.0,87.2,28.1,59.1,plant_dress_turn
3.5,11,turning,0.167,travel,1,0,1,0,0.343,1,1.444,21.1,66.5,66.5,21.1,45.4,travel_path:turning
3.5,32,turning,0.133,travel,1,0,1,0,0.396,1,1.803,331.9,245.6,245.6,28.1,86.3,travel_path:turning
4.0,3,turning,0.2,unit,0,1,1,1,0.338,1,0.324,28.1,0.0,114.0,28.1,85.9,plant_dress_turn
4.0,31,turning,0.333,unit,0,1,1,1,0.271,1,0.14,14.1,0.0,85.5,14.1,71.4,plant_dress_turn
4.5,8,turning,0.067,travel,1,0,1,0,0.402,1,1.57,14.1,75.9,75.9,14.1,61.8,travel_path:turning
4.5,15,turning,0.1,travel,1,0,1,0,0.24,1,1.374,338.9,252.9,252.9,21.1,86.0,travel_path:turning
4.5,22,turning,0.167,travel,1,0,1,0,0.446,1,0.85,21.1,127.7,127.7,21.1,106.6,travel_path:turning
4.5,29,turning,0.167,travel,1,0,1,0,0.099,1,1.44,338.9,295.8,295.8,21.1,43.1,travel_path:turning
5.0,7,turning,0.267,travel,1,0,1,0,0.409,1,0.831,317.8,204.6,204.6,42.2,113.3,travel_path:turning
5.0,14,turning,0.2,unit,0,1,1,1,0.361,1,0.614,28.1,0.0,68.4,28.1,40.3,plant_dress_turn
